acc_scan(millis='416470', counter='4824', acc_x='-410', acc_y='301', acc_z=' 6')
acc_scan(millis='416550', counter='4825', acc_x='-414', acc_y='304', acc_z=' 6')
acc_scan(millis='416630', counter='4826', acc_x='-412', acc_y='302', acc_z=' 5')
acc_scan(millis='416710', counter='4827', acc_x='-414', acc_y='302', acc_z=' 7')
acc_scan(millis='416790', counter='4828', acc_x='-415', acc_y='298', acc_z=' 6')
acc_scan(millis='416871', counter='4829', acc_x='-419', acc_y='299', acc_z=' 8')
acc_scan(millis='416951', counter='4830', acc_x='-419', acc_y='297', acc_z=' 7')
acc_scan(millis='417031', counter='4831', acc_x='-413', acc_y='299', acc_z=' 3')
acc_scan(millis='417111', counter='4832', acc_x='-411', acc_y='299', acc_z=' 5')
acc_scan(millis='417191', counter='4833', acc_x='-416', acc_y='298', acc_z=' 4')
acc_scan(millis='417272', counter='4834', acc_x='-426', acc_y='291', acc_z=' 5')
acc_scan(millis='417360', counter='4835', acc_x='-433', acc_y='296', acc_z=' 2')
acc_scan(millis='417447', counter='4836', acc_x='-427', acc_y='288', acc_z=' 2')
acc_scan(millis='417528', counter='4837', acc_x='-427', acc_y='283', acc_z=' 2')
acc_scan(millis='417608', counter='4838', acc_x='-436', acc_y='276', acc_z=' 3')
acc_scan(millis='417689', counter='4839', acc_x='-435', acc_y='265', acc_z=' 6')
acc_scan(millis='417769', counter='4840', acc_x='-443', acc_y='258', acc_z=' 8')
acc_scan(millis='417849', counter='4841', acc_x='-445', acc_y='246', acc_z=' 9')
acc_scan(millis='417929', counter='4842', acc_x='-451', acc_y='239', acc_z=' 8')
acc_scan(millis='418009', counter='4843', acc_x='-458', acc_y='227', acc_z='10')
acc_scan(millis='418090', counter='4844', acc_x='-464', acc_y='219', acc_z='10')
acc_scan(millis='418170', counter='4845', acc_x='-467', acc_y='209', acc_z='10')
acc_scan(millis='418250', counter='4846', acc_x='-475', acc_y='204', acc_z=' 9')
acc_scan(millis='418331', counter='4847', acc_x='-478', acc_y='190', acc_z='11')
acc_scan(millis='418504', counter='4848', acc_x='-477', acc_y='178', acc_z='13')
acc_scan(millis='418568', counter='4849', acc_x='-482', acc_y='158', acc_z='15')
acc_scan(millis='418632', counter='4850', acc_x='-486', acc_y='151', acc_z='20')
acc_scan(millis='418696', counter='4851', acc_x='-487', acc_y='144', acc_z='20')
acc_scan(millis='418760', counter='4852', acc_x='-485', acc_y='133', acc_z='21')
acc_scan(millis='418824', counter='4853', acc_x='-489', acc_y='127', acc_z='21')
acc_scan(millis='418888', counter='4854', acc_x='-492', acc_y='121', acc_z='21')
acc_scan(millis='418947', counter='4855', acc_x='-494', acc_y='116', acc_z='19')
acc_scan(millis='419033', counter='4856', acc_x='-496', acc_y='111', acc_z='20')
acc_scan(millis='419113', counter='4857', acc_x='-494', acc_y='103', acc_z='20')
acc_scan(millis='419194', counter='4858', acc_x='-498', acc_y='98', acc_z='22')
acc_scan(millis='419274', counter='4859', acc_x='-502', acc_y='93', acc_z='23')
acc_scan(millis='419355', counter='4860', acc_x='-506', acc_y='89', acc_z='25')
acc_scan(millis='419435', counter='4861', acc_x='-506', acc_y='80', acc_z='26')
acc_scan(millis='419515', counter='4862', acc_x='-498', acc_y='71', acc_z='25')
acc_scan(millis='419595', counter='4863', acc_x='-501', acc_y='67', acc_z='27')
acc_scan(millis='419676', counter='4864', acc_x='-500', acc_y='66', acc_z='29')
acc_scan(millis='419756', counter='4865', acc_x='-508', acc_y='63', acc_z='32')
acc_scan(millis='419837', counter='4866', acc_x='-500', acc_y='53', acc_z='29')
acc_scan(millis='419917', counter='4867', acc_x='-496', acc_y='50', acc_z='28')
acc_scan(millis='419997', counter='4868', acc_x='-497', acc_y='51', acc_z='27')
acc_scan(millis='420077', counter='4869', acc_x='-497', acc_y='51', acc_z='29')
acc_scan(millis='420157', counter='4870', acc_x='-506', acc_y='57', acc_z='31')
acc_scan(millis='420237', counter='4871', acc_x='-507', acc_y='61', acc_z='30')
acc_scan(millis='420318', counter='4872', acc_x='-504', acc_y='64', acc_z='29')
acc_scan(millis='420400', counter='4873', acc_x='-499', acc_y='67', acc_z='27')
acc_scan(millis='420480', counter='4874', acc_x='-495', acc_y='74', acc_z='27')
acc_scan(millis='420560', counter='4875', acc_x='-497', acc_y='84', acc_z='29')
acc_scan(millis='420641', counter='4876', acc_x='-503', acc_y='93', acc_z='30')
acc_scan(millis='420721', counter='4877', acc_x='-495', acc_y='96', acc_z='31')
acc_scan(millis='420802', counter='4878', acc_x='-493', acc_y='107', acc_z='27')
acc_scan(millis='420882', counter='4879', acc_x='-501', acc_y='117', acc_z='28')
acc_scan(millis='420962', counter='4880', acc_x='-497', acc_y='126', acc_z='26')
acc_scan(millis='421042', counter='4881', acc_x='-491', acc_y='133', acc_z='24')
acc_scan(millis='421123', counter='4882', acc_x='-494', acc_y='144', acc_z='23')
acc_scan(millis='421204', counter='4883', acc_x='-486', acc_y='145', acc_z='22')
acc_scan(millis='421284', counter='4884', acc_x='-485', acc_y='155', acc_z='21')
acc_scan(millis='421365', counter='4885', acc_x='-487', acc_y='162', acc_z='20')
acc_scan(millis='421445', counter='4886', acc_x='-485', acc_y='166', acc_z='19')
acc_scan(millis='421525', counter='4887', acc_x='-482', acc_y='174', acc_z='18')
acc_scan(millis='421605', counter='4888', acc_x='-482', acc_y='181', acc_z='17')
acc_scan(millis='421686', counter='4889', acc_x='-480', acc_y='187', acc_z='16')
acc_scan(millis='421766', counter='4890', acc_x='-474', acc_y='188', acc_z='15')
acc_scan(millis='421846', counter='4891', acc_x='-474', acc_y='194', acc_z='14')
acc_scan(millis='421926', counter='4892', acc_x='-467', acc_y='199', acc_z='12')
acc_scan(millis='422006', counter='4893', acc_x='-467', acc_y='204', acc_z='12')
acc_scan(millis='422087', counter='4894', acc_x='-466', acc_y='211', acc_z='10')
acc_scan(millis='422167', counter='4895', acc_x='-466', acc_y='215', acc_z='11')
acc_scan(millis='422247', counter='4896', acc_x='-463', acc_y='215', acc_z='11')
acc_scan(millis='422328', counter='4897', acc_x='-463', acc_y='219', acc_z=' 9')
acc_scan(millis='422409', counter='4898', acc_x='-463', acc_y='221', acc_z='10')
acc_scan(millis='422490', counter='4899', acc_x='-460', acc_y='221', acc_z='11')
acc_scan(millis='422570', counter='4900', acc_x='-458', acc_y='224', acc_z='10')
acc_scan(millis='422651', counter='4901', acc_x='-457', acc_y='227', acc_z=' 9')
acc_scan(millis='422731', counter='4902', acc_x='-458', acc_y='231', acc_z=' 9')
acc_scan(millis='422811', counter='4903', acc_x='-454', acc_y='233', acc_z=' 9')
acc_scan(millis='422892', counter='4904', acc_x='-453', acc_y='237', acc_z=' 8')
acc_scan(millis='422972', counter='4905', acc_x='-450', acc_y='239', acc_z=' 7')
acc_scan(millis='423052', counter='4906', acc_x='-447', acc_y='244', acc_z=' 5')
acc_scan(millis='423132', counter='4907', acc_x='-446', acc_y='252', acc_z=' 3')
acc_scan(millis='423213', counter='4908', acc_x='-441', acc_y='254', acc_z=' 3')
acc_scan(millis='423294', counter='4909', acc_x='-437', acc_y='261', acc_z=' 1')
acc_scan(millis='423375', counter='4910', acc_x='-441', acc_y='269', acc_z='-1')
acc_scan(millis='423456', counter='4911', acc_x='-439', acc_y='271', acc_z='-1')
acc_scan(millis='423537', counter='4912', acc_x='-430', acc_y='271', acc_z='-3')
acc_scan(millis='423618', counter='4913', acc_x='-430', acc_y='277', acc_z='-2')
acc_scan(millis='423699', counter='4914', acc_x='-432', acc_y='282', acc_z='-2')
acc_scan(millis='423779', counter='4915', acc_x='-430', acc_y='287', acc_z='-4')
acc_scan(millis='423860', counter='4916', acc_x='-421', acc_y='289', acc_z='-6')
acc_scan(millis='423940', counter='4917', acc_x='-418', acc_y='291', acc_z='-8')
acc_scan(millis='424113', counter='4918', acc_x='-417', acc_y='299', acc_z='-9')
acc_scan(millis='424178', counter='4919', acc_x='-422', acc_y='310', acc_z='-9')
acc_scan(millis='424243', counter='4920', acc_x='-414', acc_y='305', acc_z='-10')
acc_scan(millis='424307', counter='4921', acc_x='-414', acc_y='305', acc_z='-10')
acc_scan(millis='424371', counter='4922', acc_x='-410', acc_y='308', acc_z='-11')
acc_scan(millis='424436', counter='4923', acc_x='-410', acc_y='310', acc_z='-12')
acc_scan(millis='424501', counter='4924', acc_x='-411', acc_y='311', acc_z='-12')
acc_scan(millis='424560', counter='4925', acc_x='-411', acc_y='312', acc_z='-11')
acc_scan(millis='424647', counter='4926', acc_x='-406', acc_y='309', acc_z='-14')
acc_scan(millis='424728', counter='4927', acc_x='-410', acc_y='309', acc_z='-11')
acc_scan(millis='424809', counter='4928', acc_x='-412', acc_y='309', acc_z='-11')
acc_scan(millis='424890', counter='4929', acc_x='-412', acc_y='308', acc_z='-10')
acc_scan(millis='424971', counter='4930', acc_x='-413', acc_y='306', acc_z='-9')
acc_scan(millis='425052', counter='4931', acc_x='-414', acc_y='304', acc_z='-8')
acc_scan(millis='425133', counter='4932', acc_x='-412', acc_y='296', acc_z='-8')
